,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
19,2-s2.0-105010019288,10.1186/s12876-025-04105-5,,40624491,Explainable machine learning model for predicting the transarterial chemoembolization response and subtypes of hepatocellular carcinoma patients,ar,Article,Zhang Y.,60009860;60122342;60122340,Fudan University;The First Affiliated Hospital of Wenzhou Medical University;Wenzhou Central Hospital Medical Group,Shanghai;Wenzhou;Wenzhou,China;China;China,15,"Zhang, Yunjie;Tong, Songjian;Yang, Junhui;Lin, Jiawei;Kong, Yifan;Lu, Deyu;Chen, Yan;Li, Yingchao;Xu, Linfeng;Kong, Xiuyan;Zhu, Guoqing;Zhang, Hao;Liu, Pixu;Yu, Zhijie;Xia, Jinglin",57892540000;59479829500;57894233400;58799214200;58108505100;59905546100;59982585700;59355313700;59982305600;58108150700;57781748900;57426418800;59982447300;56650362600;59726821700,60122342;60122342;60122342;60122342;60122342;60122342;60122342;60122342;60122342;60122342;60122342;60122340;60122342;60122342;60122342-60009860,2025-12-01,December 2025,BMC Gastroenterology,,28251,1471230X,Journal,25,1,503,,"Background: Hepatocellular carcinoma (HCC), the third leading cause of cancer-related deaths globally, faces heterogeneous responses to transarterial chemoembolization (TACE) in intermediate-stage disease. We developed a Machine Learning (ML)-based model integrating routine clinical variables to preoperatively predict TACE efficacy, enabling tailored TACE candidate selection and optimized therapeutic decision-making. Methods: This retrospective multicentre study enrolled treatment-naive HCC patients undergoing initial TACE from two independent cohorts: the First Affiliated Hospital of Wenzhou Medical University (training cohort) and Wenzhou Central Hospital (external validation cohort). Through recursive feature elimination (RFE), we systematically developed prediction models employing ten distinct ML algorithms. The SHAP algorithm was implemented to enhance model interpretability, while patient stratification was subsequently performed using PCA and K-means clustering to facilitate comprehensive prognostic analysis. Results: We retrospectively collected 382 unresectable HCC patients from the First Affiliated Hospital of Wenzhou Medical University and 52 from Wenzhou Central Hospital. RFE method identified 10 predictors for constructing ML models. XGBoost and CatBoost outperformed other algorithms, achieving AUCs of 0.796–0.799 (internal test) and 0.785–0.791 (external validation) with balanced accuracy (76-76.8%). SHAP interpretability revealed tumor burden and hepatic function markers as key determinants of TACE resistance. K-means clustering stratified patients into two prognostically distinct subgroups: Cluster B showed significantly longer survival than Cluster A (HR = 0.36, 95%CI:0.26–0.49, P < 0.001), confirming the clinical relevance of ML-selected features. Conclusion: We developed and validated an interpretable ML-based system integrating predictive modelling and patient clustering to individualize TACE efficacy prediction and clinical risk stratification for HCC patients.",Hepatocellular carcinoma (HCC) | Machine learning | Prognostic model | Transarterial chemoembolization (TACE),0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,NNSF,81972233,National Natural Science Foundation of China
20,2-s2.0-105009538211,10.1038/s41598-025-06459-y,,40594918,"Uncovering subtype-specific metabolic signatures in breast cancer through multimodal integration, attention-based deep learning, and self-organizing maps",ar,Article,Shahnazari P.,60022927;60025649;60072432;60019580;110150370,University of Tehran;School of Clinical Medicine;University of Social Welfare and Rehabilitation Sciences;National Institute for Genetic Engineering and Biotechnology Iran;Hope Generation Foundation,Tehran;Cambridge;Tehran;Tehran;Tehran,Iran;United Kingdom;Iran;Iran;Iran,6,"Shahnazari, Parisa;Kavousi, Kaveh;Khorshid, Hamid Reza Khorram;Minuchehr, Zarrin;Goliaei, Bahram;M. Salek, Reza",53880637900;24722480500;57221777452;56014656100;55968486700;59971153200,60022927;60022927;60072432-110150370;60019580;60022927;60025649,2025-12-01,December 2025,Scientific Reports,,21100200805,20452322,Journal,15,1,21775,,"This study integrates multimodal metabolomic data from three platforms—LC–MS, GC–MS, and NMR—to systematically identify biomarkers distinguishing breast cancer subtypes. A feedforward attention-based deep learning model effectively selected 99 significant metabolites, outperforming traditional static methods in classification performance and biomarker consistency. By combining data from diverse platforms, the approach captured a comprehensive metabolic profile while maintaining biological relevance. Self-organizing map analysis revealed distinct metabolic signatures for each subtype, highlighting critical pathways. Group 1 (ER/PR-positive, HER2-negative) exhibited elevated serine, tyrosine, and 2-aminoadipic acid levels, indicating enhanced amino acid metabolism supporting nucleotide synthesis and redox balance. Group 3 (triple-negative breast cancer) displayed increased TCA cycle intermediates, such as α-ketoglutarate and malate, reflecting a metabolic shift toward energy production and biosynthesis to sustain aggressive proliferation. In Group 4 (HER2-enriched), elevated phosphatidylcholines and phosphatidylethanolamines suggested upregulated mono-unsaturated phospholipid biosynthesis. The study provides a framework for leveraging multimodal data integration, attention-based feature selection, and self-organizing map analysis to identify biologically meaningful biomarkers.",Attention-Based Deep Learning | Breast Cancer Subtypes | Feature Selection | Metabolic Signatures | Multimodal Metabolomics | Random Forest | Self-Organizing Map | SVM-RFE | XGB-RFE,1,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
21,2-s2.0-105005529933,10.1038/s41598-025-01373-9,,40394123,Role of circulating MicroRNAs in prostate cancer diagnosis and risk stratification in the MCC Spain study,ar,Article,Gómez-Acebo I.,60006793;60032942;60015179;60009952;60085099;60023506;60020591;60014204;60105961;60012588;60120608;60008552;114349703;126261466;132594516,"Universidad de Oviedo;Universitat Pompeu Fabra Barcelona;Universidad de Cantabria;Universitat de Girona;Centro de Investigación Biomédica en Red de Epidemiología y Salud Pública;Hospital del Mar;Hospital Universitario Marqués de Valdecilla;Universidad de Huelva;Instituto de Salud Global de Barcelona;Centro Nacional de Epidemiologia;Institut d'Investigació Biomèdica de Girona Dr. Josep Trueta;Universidad de Cantabria, Facultad de Medicina;Foundation for the Promotion of Health and Biomedical Research of Valencia Region (FISABIO);IDIVAL;Josep Carreras Leukaemia ResearchInstitute",Oviedo;Barcelona;Santander;Girona;Madrid;Barcelona;Santander;Huelva;Barcelona;Madrid;Salt;Santander;Valencia;Santander;Girona,Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain;Spain,14,"Gómez-Acebo, Inés;Valero-Dominguez, Sara;Llorca, Javier;Alonso-Molero, Jessica;Belmonte, Thalía;Castaño-Vinyals, Gemma;Molina-Barceló, Ana;Marcos-Gragera, Rafael;Kogevinas, Manolis;Rodríguez-Cundín, Paz;Alguacil, Juan;Pérez-Gómez, Beatriz;Pollán, Marina;Dierssen-Sotos, Trinidad",24402530600;59904099800;16935919000;57194266503;57217440057;8696554500;41262272800;57202555014;7005967420;16553379100;6603069063;12645618600;56994316900;6508260570,60015179-126261466-60085099-60008552;60015179-126261466;60015179;60015179-126261466-60085099;60006793;60085099-60105961-60032942-60023506;114349703;60085099-60120608-132594516-60009952;60085099-60105961-60032942-60023506;60020591;60085099-60014204;60085099-60012588;60085099-60012588;60015179-126261466-60085099,2025-12-01,December 2025,Scientific Reports,,21100200805,20452322,Journal,15,1,17517,,"To identify circulating microRNAs (miRNAs) associated with prostate cancer and to develop predictive models capable of distinguishing cases from controls and stratifying patients by Gleason risk categories (low, intermediate, and high risk). This case-control study included 203 prostate cancer cases and 54 population-based controls. Serum samples were analyzed by RT-qPCR (performed at QIAGEN Genomic Services). Total RNA was extracted from 200 µl of serum using the miRNeasy Serum/Plasma Advanced Kit and reverse-transcribed with the miRCURY LNA RT Kit. A panel of 46 candidate miRNAs was profiled, and feature selection was performed using LASSO penalization. Logistic regression models were used to estimate age- and covariate-adjusted odds ratios (ORs) with 95% confidence intervals (CIs) for the association between miRNA expression and prostate cancer risk. Predictive performance was assessed using repeated 5-fold cross-validation with bootstrap resampling (10 repetitions; 1000 resamples), and summarized using the area under the receiver operating characteristic curve (AUC) with bias-corrected 95% CIs. Fourteen miRNAs were significantly associated with prostate cancer. Notably, miR-199a-5p (OR = 1.89, 95% CI: 1.13–3.15; p = 0.015) and miR-150-5p (OR = 0.20, 95% CI: 0.06–0.63; p = 0.006) showed consistent differential expression across all Gleason risk categories, with miR-199a-5p overexpressed and miR-150-5p underexpressed, suggesting a potential role in disease progression. miR-145-5p, miR-182-5p, and miR-93-5p were significantly associated with prostate cancer in both the overall model and in low- and intermediate-risk strata, highlighting their potential relevance in early-stage disease. In contrast, miR-24-3p was exclusively overexpressed in high-risk prostate cancer (OR = 2.93, 95% CI: 1.43–5.98; p = 0.003), indicating a possible link with aggressive tumor phenotypes. Predictive models demonstrated strong discriminatory performance, particularly for the low-risk group (AUC = 0.930, 95% CI: 0.882–0.979), followed by the intermediate-risk (AUC = 0.806, 95% CI: 0.728–0.883) and high-risk groups (AUC = 0.752, 95% CI: 0.658–0.848). The overall model achieved an AUC of 0.824 (95% CI: 0.756–0.892), reflecting robust performance in distinguishing cases from controls. This study identifies key circulating miRNAs associated with prostate cancer and demonstrates their potential in predictive models for risk stratification. The strongest discriminatory performance was observed in low-risk tumors (AUC = 0.930), followed by intermediate- (AUC = 0.806) and high-risk (AUC = 0.752) categories. These findings support the use of miRNAs as non-invasive biomarkers for diagnosis and personalized management of prostate cancer.",Diagnosis | Gleason score | MiRNA | Prostate cancer | Risk stratification,5,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,MEC,PI12/00715,Generalitat de Catalunya
22,2-s2.0-105000612213,10.1007/s12672-025-02151-9,,,WGCNA and ferroptosis genes in OSCC: unraveling prognostic biomarkers and therapeutic targets,ar,Article,Liu K.,60033100;60018310;60121675;126193900;107978238,Nanjing University;Nanjing Medical University;Nanjing Stomatological Hospital;Jiangsu Province Engineering Research Center of Stomatological Translational Medicine;Jiangsu Province Key Laboratory of Oral Diseases,Nanjing;Nanjing;Nanjing;Nanjing;Nanjing,China;China;China;China;China,5,"Liu, Ke;Yu, Jiannan;Huang, Xuanxi;Gao, Hongyan;Wang, Jing",59705002000;59705351200;59704276800;59705351300;59478050400,60018310;60121675-107978238-126193900;60033100;60033100;60033100,2025-12-01,December 2025,Discover Oncology,,21101038561,27306011,Journal,16,1,379,,"Background: Oral squamous cell carcinoma (OSCC) is the predominant type of oral cancer, with over 370,000 new cases and approximately 170,000 deaths annually worldwide. Despite therapeutic advancements, OSCC mortality rates have been increasing, underscoring the need for improved prognostic models and therapeutic targets. Methods: We integrated transcriptomic and clinical survival data from the TCGA-OSCC dataset to identify ferroptosis-related prognostic genes. Using weighted gene co-expression network analysis (WGCNA), we selected genes associated with OSCC prognosis and applied Lasso regression analysis to pinpoint key genes. A prognostic model was constructed and validated through survival analysis and receiver operating characteristic (ROC) curve analysis. Results: WGCNA identified modules significantly correlated with ferroptosis, yielding 321 genes associated with OSCC prognosis. Univariate Cox analysis identified 13 genes affecting OSCC prognosis. Lasso regression and multivariate Cox regression narrowed down the gene set to a final set of 7 genes, which were used to construct the risk model. The model stratified patients into high- and low-risk groups with significant survival differences (P < 0.001). The model's predictive accuracy was validated, with AUC values ranging from 0.565 to 0.733 for 1-, 3-, and 5-year survival predictions. Immune-related analysis revealed that low-risk patients exhibited higher immune cell infiltration and were more likely to benefit from immunotherapy. Conclusion: Our study presents a novel prognostic model for OSCC patients based on ferroptosis-related genes, which not only predicts survival but also identifies potential therapeutic targets. The model's predictive accuracy and clinical relevance were validated, offering a new strategy for OSCC treatment.",Ferroptosis | Immunotherapy | Lasso regression | Oral squamous cell carcinoma (OSCC) | Prognostic model | WGCNA,2,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
23,2-s2.0-105023180688,10.3390/diagnostics15222894,,,Decoding Multi-Omics Signatures in Lower-Grade Glioma Using Protein–Protein Interaction-Informed Graph Attention Networks and Ensemble Learning,ar,Article,Elbashir M.K.,60104126,Jouf University,Sakakah,Saudi Arabia,3,"Elbashir, Murtada K.;Alanazi, Afrah;Mahmood, Mahmood A.",36702592300;58256390500;56005502400,60104126;60104126;60104126,2025-11-01,November 2025,Diagnostics,,21100852989,20754418,Journal,15,22,2894,,"Background/Objectives: Lower-grade gliomas (LGGs) are a biologically and clinically heterogeneous group of brain tumors, for which molecular stratification plays essential role in diagnosis, prognosis, and therapeutic decision-making. Conventional unimodal classifiers do not necessarily describe cross-layer regulatory dynamics which entail the heterogeneity of glioma. Methods: This paper presents a protein–protein interaction (PPI)-informed hybrid model that combines multi-omics profiles, including RNA expression, DNA methylation, and microRNA expression, with a Graph Attention Network (GAT), Random Forest (RF), and logistic stacking ensemble learning. The proposed model utilizes ElasticNet-based feature selection to obtain the most informative biomarkers across omics layers, and the GAT module learns the biologically significant topological representations in the PPI network. The Synthetic Minority Over-Sampling Technique (SMOTE) was used to mitigate the class imbalance, and the model performance was assessed using a repeated five-fold stratified cross-validation approach using the following performance metrics: accuracy, precision, recall, F1-score, ROC-AUC, and AUPRC. Results: The findings illustrate that a combination of multi-omics data increases subtype classification rates (up to 0.984 ± 0.012) more than single-omics methods, and DNA methylation proves to be the most discriminative modality. In addition, analysis of interpretability using attention revealed the major subtype-specific biomarkers, including UBA2, LRRC41, ANKRD53, and WDR77, that show great biological relevance and could be used as diagnostic and therapeutic tools. Conclusions: The proposed multi-omics based on a biological and explainable framework provides a solid computational approach to molecular stratification and biomarker identification in lower-grade glioma, bridging between predictive power, biological clarification, and clinical benefits.",biomarker discovery | graph attention network | lower-grade glioma | multi-omics integration | protein–protein interaction network,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,DGSSR-2025-02-01157,
24,2-s2.0-105023103071,10.3390/bioengineering12111245,,,A Multi-Task Ensemble Strategy for Gene Selection and Cancer Classification,ar,Article,Lin S.,60017716;60000913,Hainan University;Anglia Ruskin University,Haikou;Cambridge,China;United Kingdom,4,"Lin, Suli;Lin, Zhizhe;Zhang, Jin;Leung, Man Fai",60213155900;57193890476;60077541000;56404050400,60017716;60017716;60000913;60000913,2025-11-01,November 2025,Bioengineering,,21100886380,23065354,Journal,12,11,1245,,"Gene expression-based tumor classification aims to distinguish tumor types based on gene expression profiles. This task is difficult due to the high dimensionality of gene expression data and limited sample sizes. Most datasets contain tens of thousands of genes but only a small number of samples. As a result, selecting informative genes is necessary to improve classification performance and model interpretability. Many existing gene selection methods fail to produce stable and consistent results, especially when training data are limited. To address this, we propose a multi-task ensemble strategy that combines repeated sampling with joint feature selection and classification. The method generates multiple training subsets and applies multi-task logistic regression with (Formula presented.) group sparsity regularization to select a subset of genes that appears consistently across tasks. This promotes stability and reduces redundancy. The framework supports integration with standard classifiers such as logistic regression and support vector machines. It performs both gene selection and classification in a single process. We evaluate the method on simulated and real gene expression datasets. The results show that it outperforms several baseline methods in classification accuracy and the consistency of selected genes.",gene expression-based tumor classification | gene selection | multi-task ensemble strategy,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
25,2-s2.0-105021404852,10.3390/cancers17213509,,,Subtype Characterization of Ovarian Cancer Cell Lines Using Machine Learning and Network Analysis: A Pilot Study,ar,Article,Thelagathoti R.K.,60001562,Boys Town National Research Hospital,Omaha,United States,7,"Thelagathoti, Rama Krishna;Chandel, Dinesh S.;Jiang, Chao;Tom, Wesley A.;Krzyzanowski, Gary;Olou, Appolinaire;Fernando, M. Rohan",57221963964;59836459000;57214134200;57196049276;36515104100;57163870500;59139618700,60001562;60001562;60001562;60001562;60001562;60001562;60001562,2025-11-01,November 2025,Cancers,,19700188419,20726694,Journal,17,21,3509,,"Background/Objectives: Ovarian cancer is a heterogeneous malignancy with molecular subtypes that strongly influence prognosis and therapy. High-dimensional mRNA data can capture this biological diversity, but its complexity and noise limit robust subtype characterization. Furthermore, current classification approaches often fail to reflect subtype-specific transcriptional programs, underscoring the need for computational strategies that reduce dimensionality and identify discriminative molecular features. Methods: We designed a multi-stage feature selection and network analysis framework tailored for high-dimensional transcriptomic data. Starting with ~65,000 mRNA features, we applied unsupervised variance-based filtering and correlation pruning to eliminate low-information genes and reduce redundancy. The applied supervised Select-K Best filtering further refined the feature space. To enhance robustness, we implemented a hybrid selection strategy combining recursive feature elimination (RFE) with random forests and LASSO regression to identify discriminative mRNA features. Finally, these features were then used to construct a gene co-expression similarity network. Results: This pipeline reduced approximately 65,000 gene features to a subset of 83 discriminative transcripts, which were then used for network construction to reveal subtype-specific biology. The analysis identified four distinct groups. One group exhibited classical high-grade serous features defined by TP53 mutations and homologous recombination deficiency, while another was enriched for PI3K/AKT and ARID1A-associated signaling consistent with clear cell and endometrioid-like biology. A third group displayed drug resistance-associated transcriptional programs with receptor tyrosine kinase activation, and the fourth demonstrated a hybrid profile bridging serous and endometrioid expression modules. Conclusions: This pilot study shows that combining unsupervised and supervised feature selection with network modeling enables robust stratification of ovarian cancer subtypes.",cancer biomarkers | cancer informatics | dimensionality reduction | machine learning | network analysis | transcriptome profiling,1,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,PG64311,Albert J. Ryan Foundation
26,2-s2.0-105019964909,10.19139/soic-2310-5070-2723,,,Optimal Gene Selection and Machine Learning Framework for Alzheimer’s Disease Prediction Using Transcriptomic Data,ar,Article,Khaled O.,60239381;60274263;130985817,Faculty of Computers and Informatics;Faculty of Computers and Artificial Intelligence;The Knowledge Hub Universities,Ismailia;Cairo;Coventry,Egypt;Egypt;Egypt,3,"Khaled, Omar;Tawfik, Ben Bella Sayed;Refaie, Marwa N.",60158444600;60158776600;59723087200,60274263;60239381;130985817,2025-10-26,26 October 2025,Statistics Optimization and Information Computing,2311004X,21100464776,23105070,Journal,14,5,,2276-2296,"Accurate Alzheimer’s Disease (AD) prediction using gene expression data is significantly challenged by ultra-high dimensionality (38,319 genes) and class imbalance (697 AD vs. 460 controls). To overcome these barriers, we developed an end-to-end machine learning framework integrating advanced feature engineering with optimized classification. Our study leveraged 1,157 post-mortem dorsolateral prefrontal cortex samples from multi-cohort repositories, selected for their established relevance to Alzheimer’s disease (AD) pathology, and employed adaptive linear interpolation with biological replicates to impute sparse missing values (<5 % per gene) while minimizing noise. We rigorously evaluated four feature selection approaches: ANOVA F-value filtering (emphasizing inter-group expression differences), Mutual Information scoring (detecting non-linear gene-AD relationships), L1-SVM regularization (simultaneous sparse selection and classification), and Correlation-based elimination (reducing feature redundancy). Through exhaustive hyperparameter tuning (120 configurations), L1-SVM proved optimal, identifying 2,890 biologically coherent genes (including known Alzheimer’s disease markers APOE, BIN1, and CLU) with 92.5% dimensionality reduction and greater than 99% signal retention. Eight classifiers were benchmarked on this refined gene set. A support vector machine (SVM) with radial basis function kernels achieved peak performance: 94.37% accuracy, 96.32% precision, 94.24% recall, and a 95.27% F1-score. Crucially, the model demonstrated clinical robustness with only 8 false negatives and 5 false positives—exceeding existing transcriptomic models by ≥ 7% specificity. Validation (1,000 iterations) confirmed stability (F1-score SD: ±0.38%). This framework enables cost-effective AD screening (reducing genomic testing burden by 92.5%) and provides mechanistic insights through its interpretable gene panel, advancing precision neurology.",62H30 | 68T05 | 92C40 | Alzheimer’s Disease | Biomarker Discovery | Feature Selection | L1-SVM | Machine Learning | Transcriptomics,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
27,2-s2.0-105021095665,10.1063/5.0291780,,,Clustering differential expression: Techniques and implementation strategies for gene analysis,cp,Conference Paper,Kumbhar A.A.,60099671;60094052;123957747,Vishwakarma Institute of Technology;Rajarshi Shahu College of Engineering;G. S. Moze College of Engineering,Pune;Pimpri-Chinchwad;Pune,India;India;India,4,"Kumbhar, Alka Annasaheb;Kumbharkar, P. B.;Mane, Deepak;Bhosale, Ashvini",60173383000;57210970896;57195542654;60172764000,60094052;60094052;60099671;123957747,2025-10-03,3 October 2025,Aip Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,3325,1,070017,,"Gene expression data analysis serves a crucial role in interpreting sophisticated biological mechanisms. This study dives into the application of several clustering techniques to elucidate patterns within gene expression datasets. The fundamental purpose is to unravel latent structures in gene expression profiles, offering insight on potential interactions among genes. The research leverages gene expression datasets taken from trustworthy repositories, ensuring diverse genetic information covering numerous biological circumstances. In this paper we proposed cancerous cell detection using supervised machine learning methods. In Preprocessing processes encompassed label encoding for categorical characteristics and principal component analysis (PCA) for dimensionality reduction to allow subsequent clustering. Subsequently, numerous clustering methods such as K-Means, DBSCAN, Agglomerative, Mean Shift, and Spectral clustering were developed, each holding specific characteristics catering to diverse data distributions and cluster forms. Evaluation approaches involved performance indicators such as Silhouette scores to quantify clustering quality and validate the efficacy of each algorithm. The findings illustrate the intrinsic strengths and limits of distinct clustering approaches, disclosing varied efficiency in collecting underlying structures within the gene expression data. Furthermore, the detected clusters gave insights into possible biomarker groupings and co-expression patterns associated to biological processes or illness correlations. The discussion contains a full study of the clustering outcomes, stressing the biological relevance of the found clusters and their implications in understanding gene interactions and disease pathways. It also discusses the issues encountered, highlighting the relevance of parameter selection and handling high-dimensional data.",Childhood acute lymphoblastic leukemia | Clustering | DEGs | Gene expression | Machine learning,0,0,,,,,
28,2-s2.0-105015064803,10.1093/glycob/cwaf047,,40843950,Serum N-glycosylation is altered in Nephropathic Cystinosis,ar,Article,Cislaru A.,60002746;60016437;60008539;60026281;60014241;60280673;60092919,Harvard Medical School;Göteborgs Universitet;University of Galway;Maynooth University;UCD School of Medicine;Children’s Health Ireland;National Institute for Bioprocessing Research and Training,Boston;Gothenburg;Galway;Maynooth;Dublin;Dublin;Dublin,United States;Sweden;Ireland;Ireland;Ireland;Ireland;Ireland,10,"Cislaru, Andreea;Saldova, Radka;Heggenstaller, Alessandra;Nigrovic, Peter A.;Harlin, Emily;Greville, Gordon;De Andrade Moral, Rafael;Bojar, Daniel;Awan, Atif;O’Flaherty, Róisín",60085456800;23006346500;60085607100;55054399000;59691048600;57192820612;55628122300;57194745529;7005794049;57224936985,60026281;60092919-60014241-60008539;60280673;60002746;60026281;60026281;60026281;60016437;60280673;60026281-60008539,2025-10-01,1 October 2025,Glycobiology,09596658,17511,14602423,Journal,35,10,cwaf047,,"Changes in glycosylation can serve as markers for rare genetic disorders, including lysosomal storage diseases (LSDs). Nephropathic Cystinosis (NC), caused by mutations in the CTNS gene, is characterised by cystine accumulation in lysosomes due to dysfunctional cystinosin, a heavily N-glycosylated lysosomal transporter. We analysed total serum and IgG N-glycosylation using hydrophilic interaction ultra performance liquid chromatography (HILIC-UPLC) to explore the diagnostic biomarker capabilities and their pathophysiological relevance in NC. In this double-blind study (n = 12), we examined N-glycosylation of total serum and serum IgG from Irish participants with and without NC. Dimensionality reduction methods were used applying their glycan data to predict NC status, yet only modest predictive power was observed (66.6% for serum and 50% for IgG N-glycosylation). However, upon unblinding the data, we identified significant differences in specific serum N-glycosylation in NC, particularly in sialylation. These findings provide the first evidence that serum N-glycosylation is altered in NC. These changes may indicate disease-associated systemic alteration including dysregulation in N-glycosylation pathway. It provides justification for the need for a larger validation study and invites further exploration of its role in NC pathophysiology. We provide key recommendations for age stratification for studying serum, plasma and IgG N-glycans in juvenile cohorts as they display unique profiles compared to adult populations, an important consideration for all juvenile studies, even beyond the scope of rare diseases.",IgG glycoprotein | lysosomal storage disease | N-glycosylation | Nephropathic Cystinosis | serum,0,1,all publisherhybridgold repository repositoryam,All Open Access Hybrid Gold Green,RRF,R01AR073201,Fundación Bechara
29,2-s2.0-105017469601,10.3390/brainsci15090951,,,Entropy and Complexity in QEEG Reveal Visual Processing Signatures in Autism: A Neurofeedback-Oriented and Clinical Differentiation Study,ar,Article,Tenev A.,60072629;60072633;109097957,Ss. Cyril and Methodius University in Skopje;Macedonian Academy of Sciences and Arts;Brain and Trauma Foundation Grisons,Skopje;Skopje;Chur,North Macedonia;North Macedonia;Switzerland,4,"Tenev, Aleksandar;Markovska-Simoska, Silvana;Müller, Andreas;Mishkovski, Igor",55584187600;57211128454;56890201800;35790144000,60072629;60072633;109097957;60072629,2025-09-01,September 2025,Brain Sciences,,21100367158,20763425,Journal,15,9,951,,"(1) Background: Quantitative EEG (QEEG) offers potential for identifying objective neurophysiological biomarkers in psychiatric disorders and guiding neurofeedback interventions. This study examined whether three nonlinear QEEG metrics—Lempel–Ziv Complexity, Tsallis Entropy, and Renyi Entropy—can distinguish children with autism spectrum disorder (ASD) from typically developing (TD) peers, and assessed their relevance for neurofeedback targeting. (2) Methods: EEG recordings from 19 scalp channels were analyzed in children with ASD and TD. The three nonlinear metrics were computed for each channel. Group differences were evaluated statistically, while machine learning classifiers assessed discriminative performance. Dimensionality reduction with t-distributed Stochastic Neighbor Embedding (t-SNE) was applied to visualize clustering. (3) Results: All metrics showed significant group differences across multiple channels. Machine learning classifiers achieved >90% accuracy, demonstrating robust discriminative power. t-SNE revealed distinct ASD and TD clustering, with nonlinear separability in specific channels. Visual processing–related channels were prominent contributors to both classifier predictions and t-SNE cluster boundaries. (4) Conclusions: Nonlinear QEEG metrics, particularly from visual processing regions, differentiate ASD from TD with high accuracy and may serve as objective biomarkers for neurofeedback. Combining complexity and entropy measures with machine learning and visualization techniques offers a relevant framework for ASD diagnosis and personalized intervention planning.",autism | Lempel–Ziv complexity | neurofeedback | QEEG | Renyi entropy | Tsallis entropy,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
30,2-s2.0-105016909460,10.1093/bib/bbaf493,,40996147,A multi-omics integration framework using multi-label guided learning and multi-scale fusion,ar,Article,Li Y.,60007711,Jilin University,Changchun,China,5,"Li, Yuze;Wang, Yinghe;Liang, Tao;Li, Ying;Du, Wei",60112760900;60112692000;60112715400;55924880500;56374077700,60007711;60007711;60007711;60007711;60007711,2025-09-01,1 September 2025,Briefings in Bioinformatics,14675463,17956,14774054,Journal,26,5,bbaf493,,"The rapid development of high-throughput sequencing technologies has generated vast amounts of omics data, making multi-omics integration a crucial approach for understanding complex diseases. Despite the introduction of various multi-omics integration methods in recent years, existing approaches still have limitations, primarily in their reliance on manual feature selection, restricted applicability, and inability to comprehensively capture both inter-sample and cross-omics interactions. To address these challenges, we propose mmMOI, an end-to-end multi-omics integration framework that incorporates multi-label guided learning and multi-scale attention fusion. mmMOI directly processes raw high-dimensional omics data without requiring manual feature selection, thereby enhancing model interpretability and eliminating biases introduced by feature preselection. First, we introduce a multi-label guided multi-view graph neural network, which enables the model to adaptively learn omics data representations across different datasets, thereby improving generalizability and stability. Second, we design a multi-scale attention fusion network, which integrates global attention and local attention. This dual-attention mechanism allows mmMOI to more accurately integrate multi-omics data, enhance cross-omics feature representations, and improve classification performance. Experimental results demonstrate that mmMOI significantly outperforms state-of-the-art methods in classification tasks, exhibiting high stability and adaptability across diverse biological contexts and sequencing technologies. Additionally, mmMOI successfully identifies key disease-associated biomarkers, further enhancing its biological interpretability and practical relevance.",graph neural network | multi-label guided learning | multi-omics integration | multi-scale fusion,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,NNSFC,62372494,National Natural Science Foundation of China
